Minutenmittelwerte Messe M1 WRE1
Datum Uhrzeit;DC-Leistung;Wirkleistung;Scheinleistung;Blindleistung;Maximale Kühlkörpertemperatur;Maximale Drosselablufttemperatur;Tagesenergie;Monatsenergie;Jahresenergie;Gesamtenergie;Einstrahlung global;Einstrahlung M1;Einstrahlung M2;Einstrahlung M3;Temperatur global;Temperatur M1;Temperatur M2;Temperatur M3;Temperatur M4;Temperatur M5;Temperatur M6;Temperatur Umgebung;WR1 R-Iso;WR1 R-Iso Nacht;WR1 R-Iso Nacht DC1;WR1 R-Iso Nacht DC2;WR1 R-Iso Nacht DC3;WR1 R-Iso Nacht DC4;WR1 DC-Strom;WR1 DC-Strom String1;WR1  DC-Strom String2;WR1 DC-Strom String3;WR1 DC-Strom String4;WR1 DC-Strom in % String1;WR1 DC-Strom in % String2;WR1 DC-Strom in % String3;WR1 DC-Strom in % String4;WR1 DC-Spannung;WR1 DC-Spannung Feld;WR1 DC-Leistung;WR1 DC-Leistung String1;WR1  DC-Leistung String2;WR1 DC-Leistung String3;WR1 DC-Leistung String4;WR1 AC-Strom L1;WR1 AC-Strom L2;WR1 AC-Strom L3;WR1 AC-Spannung L1;WR1 AC-Spannung L2;WR1 AC-Spannung L3;WR1 AC-Wirkleistung;WR1 AC-Scheinleistung;WR1 AC-Blindleistung;WR1 Frequenz;WR1 Kühlkörpertemperatur;WR1 Drosselablufttemperatur;WR1 Tagesenergie;WR1 Monatsenergie;WR1 Jahresenergie;WR1 Gesamtenergie;WR1 Wirkungsgrad in % String1;WR1 Wirkungsgrad in % String2;WR1 Wirkungsgrad in % String3;WR1 Wirkungsgrad in % String4;WR2 R-Iso;WR2 R-Iso Nacht;WR2 R-Iso Nacht DC1;WR2 R-Iso Nacht DC2;WR2 R-Iso Nacht DC3;WR2 R-Iso Nacht DC4;WR2 DC-Strom;WR2 DC-Strom String1;WR2  DC-Strom String2;WR2 DC-Strom String3;WR2 DC-Strom String4;WR2 DC-Strom in % String1;WR2 DC-Strom in % String2;WR2 DC-Strom in % String3;WR2 DC-Strom in % String4;WR2 DC-Spannung;WR2 DC-Spannung Feld;WR2 DC-Leistung;WR2 DC-Leistung String1;WR2  DC-Leistung String2;WR2 DC-Leistung String3;WR2 DC-Leistung String4;WR2 AC-Strom L1;WR2 AC-Strom L2;WR2 AC-Strom L3;WR2 AC-Spannung L1;WR2 AC-Spannung L2;WR2 AC-Spannung L3;WR2 AC-Wirkleistung;WR2 AC-Scheinleistung;WR2 AC-Blindleistung;WR2 Frequenz;WR2 Kühlkörpertemperatur;WR2 Drosselablufttemperatur;WR2 Tagesenergie;WR2 Monatsenergie;WR2 Jahresenergie;WR2 Gesamtenergie;WR2 Wirkungsgrad in % String1;WR2 Wirkungsgrad in % String2;WR2 Wirkungsgrad in % String3;WR2 Wirkungsgrad in % String4;WR3 R-Iso;WR3 R-Iso Nacht;WR3 R-Iso Nacht DC1;WR3 R-Iso Nacht DC2;WR3 R-Iso Nacht DC3;WR3 R-Iso Nacht DC4;WR3 DC-Strom;WR3 DC-Strom String1;WR3  DC-Strom String2;WR3 DC-Strom String3;WR3 DC-Strom String4;WR3 DC-Strom in % String1;WR3 DC-Strom in % String2;WR3 DC-Strom in % String3;WR3 DC-Strom in % String4;WR3 DC-Spannung;WR3 DC-Spannung Feld;WR3 DC-Leistung;WR3 DC-Leistung String1;WR3  DC-Leistung String2;WR3 DC-Leistung String3;WR3 DC-Leistung String4;WR3 AC-Strom L1;WR3 AC-Strom L2;WR3 AC-Strom L3;WR3 AC-Spannung L1;WR3 AC-Spannung L2;WR3 AC-Spannung L3;WR3 AC-Wirkleistung;WR3 AC-Scheinleistung;WR3 AC-Blindleistung;WR3 Frequenz;WR3 Kühlkörpertemperatur;WR3 Drosselablufttemperatur;WR3 Tagesenergie;WR3 Monatsenergie;WR3 Jahresenergie;WR3 Gesamtenergie;WR3 Wirkungsgrad in % String1;WR3 Wirkungsgrad in % String2;WR3 Wirkungsgrad in % String3;WR3 Wirkungsgrad in % String4
15.08.2014 00:01:00;0,00;0,01;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,90;8,70;9,60;10,00;9,97;10,00;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;2,82;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,05;217,00;0,01;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;6,06;0,00;10,18;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;2,57;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,55;0,00;0,00;0,00;50,04;27,00;23,00;60,90;18857,00;290204,00;2840396,00;0,00;4,73;16,26;3,94;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,35;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;18,95;7,46
15.08.2014 00:02:00;0,00;0,01;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,90;8,53;9,60;9,99;10,00;10,00;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,01;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;6,11;0,00;10,23;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,11;0,00;0,10;0,30;0,01;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;23,00;60,90;18857,00;290204,00;2840396,00;0,00;4,65;16,18;4,01;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;19,02;7,42
15.08.2014 00:03:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,90;8,50;9,60;9,74;9,93;9,73;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;6,81;0,00;11,65;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;23,00;60,90;18857,00;290204,00;2840396,00;0,00;5,40;18,49;4,55;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;21,57;8,52
15.08.2014 00:04:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,03;0,00;44,40;8,90;8,50;9,60;9,86;10,00;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;3,45;0,00;5,83;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;23,00;60,90;18857,00;290204,00;2840396,00;0,00;2,70;9,25;2,27;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;10,80;4,26
15.08.2014 00:05:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,90;8,50;9,60;9,72;10,00;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,96;0,00;10,18;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;22,98;60,90;18857,00;290204,00;2840396,00;0,00;4,73;16,10;3,94;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;18,88;7,42
15.08.2014 00:06:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,04;0,00;44,40;8,90;8,50;9,60;9,70;10,00;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,11;0,00;8,81;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;23,00;60,90;18857,00;290204,00;2840396,00;0,00;4,05;13,87;3,41;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;16,11;6,39
15.08.2014 00:07:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,90;8,50;9,62;9,70;10,00;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;6,81;0,00;11,51;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,11;0,00;0,10;0,30;0,01;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;22,98;60,90;18857,00;290204,00;2840396,00;0,00;5,36;18,45;4,51;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;21,46;8,52
15.08.2014 00:08:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,04;0,00;44,40;8,90;8,50;9,60;9,70;9,98;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,16;0,00;8,67;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;22,83;60,90;18857,00;290204,00;2840396,00;0,00;3,98;13,83;3,41;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;16,15;6,39
15.08.2014 00:09:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,87;8,50;9,60;9,70;9,82;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,96;0,00;10,28;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;22,13;60,90;18857,00;290204,00;2840396,00;0,00;4,72;16,10;3,94;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;18,80;7,46
15.08.2014 00:10:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,85;8,50;9,60;9,70;9,80;9,69;11,37;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;6,72;0,00;11,61;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,04;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;22,00;60,90;18857,00;290204,00;2840396,00;0,00;5,36;18,38;4,55;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,04;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;21,53;8,52
15.08.2014 00:11:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,04;0,00;44,40;8,89;8,50;9,60;9,67;9,80;9,70;11,36;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,06;0,00;8,76;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;216,00;218,00;218,00;0,00;0,00;0,00;50,04;27,00;22,03;60,90;18857,00;290204,00;2840396,00;0,00;4,05;13,87;3,41;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;217,00;0,00;0,00;0,00;50,04;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;16,15;6,39
15.08.2014 00:12:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,04;0,01;44,40;8,85;8,50;9,60;9,70;9,80;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;2,82;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;213,83;216,00;216,53;0,00;0,00;0,00;49,95;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,91;0,00;10,09;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;2,55;0,01;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;215,03;217,03;218,00;0,00;0,00;0,00;49,95;27,00;22,05;60,90;18857,00;290204,00;2840396,00;0,00;4,61;15,76;3,94;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,01;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;215,45;216,00;216,00;0,00;0,00;0,00;49,95;27,00;29,02;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;18,72;7,45
15.08.2014 00:13:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,04;0,01;44,40;8,79;8,50;9,60;9,65;9,80;9,70;11,39;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;49,94;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;4,68;0,00;7,94;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;215,00;217,00;218,00;0,00;0,00;0,00;49,94;27,00;22,00;60,90;18857,00;290204,00;2840396,00;0,00;3,64;12,30;3,09;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;216,00;0,00;0,00;0,00;49,94;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;14,63;5,79
15.08.2014 00:14:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,70;8,50;9,60;9,70;9,80;9,70;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;49,94;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;6,81;0,00;11,47;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;215,00;217,00;218,00;0,00;0,00;0,00;49,94;27,00;22,00;60,90;18857,00;290204,00;2840396,00;0,00;5,29;17,89;4,44;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;216,00;0,00;0,00;0,00;49,94;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;21,26;8,45
15.08.2014 00:15:00;0,00;0,00;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,05;0,00;44,40;8,70;8,47;9,60;9,70;9,80;9,58;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,00;0,00;0,00;49,94;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;5,82;0,00;10,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,03;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;215,00;217,00;218,00;0,00;0,00;0,00;49,94;27,00;22,00;60,90;18857,00;290204,00;2840396,00;0,00;4,69;15,73;3,90;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,03;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;216,00;0,00;0,00;0,00;49,94;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;18,57;7,46
15.08.2014 00:16:00;0,00;0,01;0,00;0,00;0,00;30,00;2776,40;49048,00;769625,00;7940302,50;0,00;0,00;0,04;0,00;44,40;8,70;8,47;9,60;9,70;9,80;9,58;11,40;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,00;0,10;0,00;0,10;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;214,00;216,00;217,00;0,01;0,00;0,00;49,94;27,00;30,00;1124,60;14937,00;241035,00;2549213,00;0,00;2,46;0,00;4,27;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,70;0,10;0,00;0,10;0,30;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;4,40;215,00;217,00;218,00;0,00;0,00;0,00;49,94;27,00;22,00;60,90;18857,00;290204,00;2840396,00;0,00;3,94;13,49;3,44;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;0,30;0,00;0,00;0,40;0,10;0,00;0,10;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;216,00;216,00;216,00;0,00;0,00;0,00;49,94;27,00;29,00;1590,70;15254,00;238386,00;2550693,00;0,00;0,00;15,92;6,39
